transaction_id,fraud_flag
T0001,0
T0002,0
T0003,0
T0004,0
T0005,1
T0006,0
T0007,0
T0008,0
T0009,1
T0010,0
T0011,0
T0012,0
T0013,1
T0014,0
T0015,0
T0016,0
T0017,0
T0018,0
T0019,0
T0020,0
T0021,0
T0022,0
T0023,0
T0024,0
T0025,0
T0026,0
T0027,0
T0028,0
T0029,0
T0030,0
T0031,0
T0032,0
T0033,1
T0034,0
T0035,0
T0036,0
T0037,0
T0038,0
T0039,0
T0040,0
T0041,0
T0042,0
T0043,0
T0044,0
T0045,0
T0046,0
T0047,0
T0048,0
T0049,0
T0050,0
T0051,0
T0052,0
T0053,0
T0054,0
T0055,0
T0056,0
T0057,0
T0058,0
T0059,0
T0060,0
T0061,0
T0062,0
T0063,0
T0064,1
T0065,0
T0066,1
T0067,0
T0068,0
T0069,0
T0070,0
T0071,1
T0072,0
T0073,0
T0074,0
T0075,0
T0076,0
T0077,0
T0078,0
T0079,0
T0080,0
T0081,0
T0082,0
T0083,0
T0084,0
T0085,0
T0086,0
T0087,0
T0088,0
T0089,1
T0090,0
T0091,0
T0092,1
T0093,0
T0094,0
T0095,0
T0096,0
T0097,0
T0098,0
T0099,0
T0100,0
T0101,0
T0102,0
T0103,0
T0104,0
T0105,0
T0106,0
T0107,0
T0108,0
T0109,0
T0110,0
T0111,0
T0112,0
T0113,0
T0114,0
T0115,0
T0116,0
T0117,0
T0118,0
T0119,1
T0120,0
T0121,0
T0122,1
T0123,0
T0124,0
T0125,1
T0126,0
T0127,0
T0128,0
T0129,0
T0130,0
T0131,0
T0132,0
T0133,0
T0134,0
T0135,0
T0136,0
T0137,0
T0138,0
T0139,0
T0140,0
T0141,0
T0142,0
T0143,0
T0144,0
T0145,0
T0146,0
T0147,0
T0148,0
T0149,0
T0150,0
T0151,0
T0152,0
T0153,0
T0154,0
T0155,0
T0156,0
T0157,0
T0158,0
T0159,0
T0160,1
T0161,0
T0162,0
T0163,1
T0164,0
T0165,0
T0166,0
T0167,0
T0168,0
T0169,0
T0170,0
T0171,1
T0172,0
T0173,0
T0174,0
T0175,0
T0176,0
T0177,0
T0178,0
T0179,1
T0180,0
T0181,0
T0182,0
T0183,0
T0184,0
T0185,0
T0186,0
T0187,0
T0188,0
T0189,0
T0190,0
T0191,0
T0192,0
T0193,0
T0194,0
T0195,0
T0196,0
T0197,0
T0198,0
T0199,0
T0200,0
T0201,0
T0202,0
T0203,0
T0204,0
T0205,0
T0206,0
T0207,0
T0208,0
T0209,0
T0210,0
T0211,0
T0212,1
T0213,0
T0214,0
T0215,0
T0216,0
T0217,0
T0218,0
T0219,0
T0220,0
T0221,0
T0222,0
T0223,0
T0224,0
T0225,0
T0226,0
T0227,0
T0228,0
T0229,0
T0230,0
T0231,0
T0232,0
T0233,0
T0234,0
T0235,0
T0236,0
T0237,0
T0238,0
T0239,0
T0240,0
T0241,0
T0242,0
T0243,0
T0244,0
T0245,0
T0246,0
T0247,0
